 '2,,,,,,,,,,,,,,Sumber,,,,
No,Nama Usaha,Kategori,Menu/Produk Andalan,Kisaran Harga (Rp),Jam Operasional,Terdaftar di Pokdarwis,No. WA/Telepon,Pantai Terdekat,Alamat,Gmaps Tersedia,Link Google Maps,"Media Sosial
(opsional)",Link Foto,Google Maps,Media Sosial,Survei Langsung,Status Kelengkapan,Catatan
65,NGALEMBONO CAFE & RESTO,Restoran,"Seafood, Snacks, Drink, Nasi, Mie","5rb - 30rb
",6:00 - 18:00 (weekday) / 22:00 (weekend),Belum Dicek,wa.me/62813570932280,Pasir Putih Watukarung,"Alamat: QX6J+26W, Gumuharjo, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur, Indonesia",Ya,"https://www.google.com/maps/place/NGALEMBONO+CAFE+%26+RESTO/@-8.2398937,110.9805645,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bdd00043bc579:0x4cff4bdf3f83ca8a!8m2!3d-8.2398937!4d110.9805645!16s%2Fg%2F11zjly2t2p?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNS4wIKXMDSoASAFQAw%3D%3D",https://www.instagram.com/ngalembonocafe/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEKj1EyHx5ddFVlhvzgiMcbRi7RISGSMS4G61WaL71hpFRcPTC9MLKstDltidu0rj3w6SedPMxsyv2AkDoJFfcRYjbWdXDxAgK_wPzEugQ8xxm0xfZGOSEa6PVRQZvBS9IhH_gSamLJEXuB=w408-h408-k-no,Ya,Ya,Tidak,Lengkap,
66,warung pak tumino,Cafe,-,,,Belum Dicek,,Pasir Putih Watukarung,"Alamat: QX6J+2W3, Gumuharjo, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur, Indonesia",Ya,"https://www.google.com/maps/place/warung+pak+tumino/@-8.2399944,110.982288,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bddc4ef9d2b49:0x53f641c46fa367e!8m2!3d-8.2399944!4d110.982288!16s%2Fg%2F11p5f9pb43?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNS4wIKXMDSoASAFQAw%3D%3D ",,,Ya,Tidak,Tidak,Belum Lengkap,belum ada info apapun di google maps
67,Warung Bu Yati,Cafe,-,,,Belum Dicek,,Pasir Putih Watukarung,"Alamat: QX5M+R7G, Gumuharjo, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",,"https://www.google.com/maps/place/Warung+Bu+Yati/@-8.2404358,110.9832171,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bdd0013bc04d9:0xc391eb79b903086a!8m2!3d-8.2404358!4d110.9832171!16s%2Fg%2F11vm95n0_f?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNS4wIKXMDSoASAFQAw%3D%3D",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEzGAfJJdSVAafoNKj5LPlJNjGOiwlsod2MgcU1q7eb3xdJ7E4e62sIfeVTLSntagwxJ20C8fYoZryl4zsuGXF62tkn6jfdcoI6icz8YamCpW9V9YAIydHgsmjR99mIHiRHOWt6eHAr6fBU=w156-h114-p-k-no,Ya,Tidak,Tidak,Belum Lengkap,
68,Warung makan sederhana mbak wulan,Restoran,-,,,Belum Dicek,wa.me/62823303401400,Pasir Putih Watukarung,"Alamat: QXGJ+W5G, Gumuharjo, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",,"https://www.google.com/maps/place/Warung+makan+sederhana+mbak+wulan/@-8.2226811,110.9804684,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bdd608f69dc81:0x2c0b55aefbc74907!8m2!3d-8.2226811!4d110.9804684!16s%2Fg%2F11fs51_fjx?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNS4wIKXMDSoASAFQAw%3D%3D ",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFBxvN1MxdhoyBoU_iUgSjjYU4wyo094AN8uiE79xrMagp9kwXSqTUpbtpklPj_dYD0eXo_rDG9kc_UHI9SV4Ou5bf6MvFXHlXoaZFV4WHraS1IJ0G0--IfL2XtUQvxOCu8aIII=w408-h542-k-no,Ya,Tidak,Tidak,Belum Lengkap,jauh dari pantai
69,KOPI NIKUNG,Cafe,-,,,Belum Dicek,,Pasir Putih Watukarung,"Alamat: QX7J+P4R, Unnamed Road, Gumuharjo, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Ya,"https://www.google.com/maps/place/KOPI+NIKUNG/@-8.2356452,110.9802502,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bddf592818f65:0x5a24ae042f3372d5!8m2!3d-8.2356452!4d110.9802502!16s%2Fg%2F11q2w49pmw?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNS4wIKXMDSoASAFQAw%3D%3D ",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFgOrCf7gTEZ1C13FDmz8jniaoFdYKskxfctUQtMu_4XjzAn-MvexHo4-LtNJW6KSeht3YqwfzOuTP6s2E-uZMfjdX4vbGfDtAMP0o15GnwCPxTayu5rNj_6US9y34fv9F09cs=w426-h240-k-no,Ya,Tidak,Tidak,Belum Lengkap,masih kurang informasi di google maps/media sosial
70,Warung Makan Podo Moro,Warung Makan,"Aneka Seafood, Minuman, Ikan bakar",5rb-35rb,7:00 - 17:00,Belum Dicek,,Pasir Putih Watukarung,"Alamat: QX7F+93, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Ya,https://www.google.com/maps/place/Warung+Makan+Podo+Moro/data=!4m7!3m6!1s0x2e7bdd006656cb51:0xf5bf03525411d017!8m2!3d-8.2366257!4d110.9728187!16s%2Fg%2F11x0mvpy7g!19sChIJUctWZgDdey4RF9ARVFIDv_U?authuser=0&hl=id&rclk=1 ,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHXntdDp6_Bs7-_Wv1WONDorABX8Qj6Q9sEYWvQRexge3jJsKvnAlJ-Fu2qILwCbzsXNObO_PB2bo2JmgqJ_8d32aC9pDwYApnZ37JzLBxzmFtATjoOr23LyFyX-WSRjJHDNFsn=w408-h725-k-no,Ya,Tidak,Tidak,Belum Lengkap,belum ada info apapun di google maps
71,Pawon Mbok Mur,Warung Makan,"Seafood, Minuman, Ikan bakar, Mie",4rb - 30rb,05:00 - 19:00 (weekend),Belum Dicek,wa.me/62823845485020,Pasir Putih Watukarung,"Alamat: QX7C+HCX, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Ya,"https://www.google.com/maps/place/Warung+Makan+Bu+Murtini/@-8.2360012,110.9711083,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bddbef8c8805d:0x10fcb7f308f00c82!8m2!3d-8.2360012!4d110.9711083!16s%2Fg%2F11c1xfsxf3?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNS4wIKXMDSoASAFQAw%3D%3D ",-,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHqjDmhQCA6jY7kFqUk5O8lXtqsapw6BKy6vxt_KvrLcLRPp_rRwb3h0exOwq4bRja6lvQ4NawWLpKexbKA7-d4YeH4_JONMf24CAAEBv2ajoE5BYfYl3h0UGnxF0IOfCuaJhoQnw=w156-h114-p-k-no,Ya,Tidak,Tidak,Lengkap,belum ada info apapun di google maps
72,Warung Makan Bu Murtini,Warung Makan,"Seafood, Minuman, Ikan bakar, Mie, Baju dan alat pantai",4rb- 30rb,05:00 - 19:00 (weekend),Belum Dicek,wa.me/62823845485020,Pasir Putih Watukarung,"Alamat: QX7C+HCX, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Ya,,,,Tidak,Tidak,Tidak,,
73,Warung Makan Mbak Tyas,Warung Makan,"Seafood, Minuman, Nasi, Mie",3rb- 100rb,06:00 - 21:00,Belum Dicek,wa.me/62821493022650,Pasir Putih Watukarung,"Alamat: QX7C+HJGJalan, RT.DusunRT.01/RW.07, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552",Ya,"https://www.google.com/maps/place/Warung+Makan+Mbak+Tyas/@-8.2378027,110.9752525,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bdd27b80a541d:0x6af37e0d2ad03987!8m2!3d-8.2378027!4d110.9752525!16s%2Fg%2F11l5dhyxtd?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNS4wIKXMDSoASAFQAw%3D%3D ",https://www.instagram.com/wm.mbaktias/,https://maps.app.goo.gl/K4p5nXGZcUgALLgj9,Ya,Ya,Tidak,Lengkap,perlu diperbarui info foto menunya
74,Mi ayam dan Bakso Bismillah,Restoran,"Mie ayam Bakso, Nasi Goreng, Aneka Minuman",15rb-35rb,10.00-21.00,Belum Dicek,wa.me/6281380084390,Pasir Putih Watukarung,"Alamat: QX7F+H5F, gumulharjo, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",,"https://www.google.com/maps/place/Mi+ayam+dan+Bakso+Bismillah/@-8.2360625,110.9729219,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bdda6b1840fed:0x3486915041b4f168!8m2!3d-8.2360625!4d110.9729219!16s%2Fg%2F11t_s4m6ky?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNS4wIKXMDSoASAFQAw%3D%3D",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE938blK3C2ZJyBPRlO5TwPqDLVve4qVHmZgwYyZ1Kelj0QSkvxURqTmVnyECqnG2jEmDr4UnaPtFXbGU_VNztRU-zxKphsKblZBPvVPV57nxdT-ZTyg-aGojmUJMOvdoZUwMEvRQ=w534-h240-k-no,Ya,Tidak,Tidak,Belum Lengkap,
75,Warung Bu Sarmi,Restoran,,,06:00am - 08:00pm,Belum Dicek,wa.me/6281235064354,Pasir Putih Watukarung,"Alamat: Kios No. 12  Watukarung, Desa, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63553, Indonesia",,https://www.google.com/maps/place/Warung+Bu+Sarmi/data=!4m7!3m6!1s0x2e7bdd7a54976531:0x4c18dc3d2b40182e!8m2!3d-8.2359874!4d110.9714001!16s%2Fg%2F11gmg5xs83!19sChIJMWWXVHrdey4RLhhAKz3cGEw?authuser=0&hl=id&rclk=1,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHqjDmhQCA6jY7kFqUk5O8lXtqsapw6BKy6vxt_KvrLcLRPp_rRwb3h0exOwq4bRja6lvQ4NawWLpKexbKA7-d4YeH4_JONMf24CAAEBv2ajoE5BYfYl3h0UGnxF0IOfCuaJhoQnw=w156-h114-p-k-no,Ya,Tidak,Tidak,Belum Lengkap,
76,Warung makan mbak yuyun,Restoran,"Seafood, Minuman, Ikan bakar, Mie",4rb - 30rb,,Belum Dicek,wa.me/6285230651995,Pasir Putih Watukarung,"Alamat: QX7C+M82, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",,https://www.google.com/maps/place/Warung+makan+mbak+yuyun/data=!4m7!3m6!1s0x2e7bddc6cc516843:0xccdae5321397c867!8m2!3d-8.2358532!4d110.970762!16s%2Fg%2F11v6sxx8pd!19sChIJQ2hRzMbdey4RZ8iXEzLl2sw?authuser=0&hl=id&rclk=1 ,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEs3NMnlvFdxHBXtTtUFoTG3uQWCHyF5N-F-o8DsffRaZi5C1YbOMo27ZUZ3XTPqIraSFO3ECQLQWcpYBdDPjB_zP485NIiTf1abIQLEALPU2nA7Dhrn3C7kbDacHTCdXWVLeM=w408-h544-k-no,Ya,Tidak,Tidak,Lengkap,
77,Warung Makan Mendietta Homestay,Restoran,Aneka Olahan Seafood,8b-100rb,07:00 - 17:00,Belum Dicek,wa.me/62812170105790,Pasir Putih Watukarung,"Alamat: QX6F+VF9, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",,https://www.google.com/maps/place/Warung+Makan+Mendietta+Homestay/data=!4m7!3m6!1s0x2e7bddee45ff7a21:0x5f91aa574962afde!8m2!3d-8.2384031!4d110.9739189!16s%2Fg%2F11rz75ywqv!19sChIJIXr_Re7dey4R3q9iSVeqkV8?authuser=0&hl=id&rclk=1,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGNF1Edkchdtq630ASw_PcD5W3-3jdbVB_zWM-0xpqRMFmUThZ6c-UKmBBjvXUJ3LkUf454-ggeH2_Jbr1zkLn4sNY28fxEcenuc7rn6TDTzAerE6Yxw5qFVhVwfWzFNO2ng1ABng=w408-h632-k-no,Ya,Tidak,Tidak,Belum Lengkap,
78,Warung Makan Pak Roni,Restoran,Aneka Olahan Seafood,10rb-100rb,06:00 - 18:00,Belum Dicek,wa.me/62821427810060,Pasir Putih Watukarung,"Alamat: QXGJ+W5G, Gumuharjo, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",,https://www.google.com/maps/place/Warung+Makan+Pak+Roni/data=!4m7!3m6!1s0x2e7bddf977bb4a45:0xc7b0a95512f7a1a2!8m2!3d-8.222681!4d110.9804684!16s%2Fg%2F11f9f82yl6!19sChIJRUq7d_ndey4RoqH3ElWpsMc?authuser=0&hl=id&rclk=1,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEfOeQ1VtoDr_jH3AkMzPDEc67uv_TxggjDFLkilMcBcrAeiySuGQybNC588jvWRcpFJcRc7qA9ShKHs9oDZ7PU3UlwzOzPinlCaBrml5_NN0fT-fqdyleBbcQ-18qzudmNHM06=w408-h544-k-no,Ya,Tidak,Tidak,Belum Lengkap,
79,Warung Podjok Mbak Menthik,Warung Makan,ikan bakar,20rb - 130rb,07.00 - 17.00 weekend,Belum Dicek,wa.me/6281262359854,Pasir Putih Watukarung,"Alamat: QX6F+PHM, Unnamed Road, Ketro, Watukarung, Pringkuku, Pacitan Regency, East Java 63552, Indonesia",Ya,https://www.google.com/maps/place/Warung+Mbak+Menthik/data=!4m7!3m6!1s0x2e7bdd112441d475:0x2574f3f2b5f994b5!8m2!3d-8.2386567!4d110.9740332!16s%2Fg%2F11s48qw308!19sChIJddRBJBHdey4RtZT5tfLzdCU?authuser=0&hl=id&rclk=1,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE1gN5-f7NeAYPlw8l4J__J3Y0g0slHLPY-SvnPzKoICU7qHMRLMVO_zq56rQ1rZpgNieF5hPuOJs4TpPaDojckuQvdFYQOCreeEbOxujRJgyQRSvE1DAudEcd0r1UvBI2dXtmm7w=w408-h306-k-no,Ya,Tidak,Ya,Lengkap,
80,WM. Dua Putri,Warung Makan,Seafood,4rb - 30rb,7:00 - 18:00,,wa.me/6285230237131,Pasir Putih Watukarung,"Pantai, Watukarung, Pringkuku, Pacitan Regency, East Java 63552",Ya,,,,Tidak,Tidak,Tidak,,
81,JP Accessories,Kerajinan,"Gelang Kerang, Kerajinan Pantai",15rb - 35rb,"Weekend 
07:00 - 14:00",,wa.me/6285336116676,Pasir Putih Watukarung,"Pantai, Watukarung, Pringkuku, Pacitan Regency, East Java 63552",Ya,,,,Tidak,Tidak,Tidak,,
82,"Kios Ikan Goreng ""Mbak Rita""",UMKM Rumahan,"Bakso Bakar, Tempura Bakar",2rb - 5rb,07:00 - 17:00,,wa.me/6285259801013,Pasir Putih Watukarung,"Pantai, Watukarung, Pringkuku, Pacitan Regency, East Java 63552",Tidak,,,,Tidak,Tidak,Tidak,,
83,Warung Makan & Mie Ayam Bakso Mbak Temu ,Warung Makan,"Seafood Bakar, Bakso, Mie Ayam",12rb - 40rb,07:00 - 17:00,,wa.me/6285334941944,Pasir Putih Watukarung,"Pantai, Watukarung, Pringkuku, Pacitan Regency, East Java 63552",Ya,,,,Tidak,Tidak,Tidak,,
84,warung mbak iis,Warung Makan,,,,,,Pasir Putih Watukarung,"Pantai, Watukarung, Pringkuku, Pacitan Regency, East Java 63552",Tidak,,,,Tidak,Tidak,Ya,,
85,warung mbak juwita,Warung Makan,ikan bakar,5rb - 30rb,07:00 - 17:00 weekend,,wa.me/6282264257860,Pasir Putih Watukarung,"Pantai, Watukarung, Pringkuku, Pacitan Regency, East Java 63552",Ya,,,,Tidak,Tidak,Ya,,
86,warung makan indah lestari mbak riska,Warung Makan,ikan bakar,5rb - 140rb,weekend,,wa.me/6281296088102,Pasir Putih Watukarung,"Pantai, Watukarung, Pringkuku, Pacitan Regency, East Java 63552",Tidak,,,,Tidak,Tidak,Ya,,
87,Wm. Langkah Indah,Warung Makan,"Seafood, Ikan Bakar",4rb- 25rb,007.00 - 18.00 weekend & liburan,,wa.me/6285334360675,Pasir Putih Watukarung,"Pantai, Watukarung, Pringkuku, Pacitan Regency, East Java 63552",Ya,,,,Tidak,Tidak,Ya,Belum Lengkap,
88,Warung Makan Bu Sokiyah ,Warung Makan,Seafood ,10rb - 30rb,10:00 - 17:00,,wa.me/6282132977893,Pasir Putih Watukarung,"Pantai, Watukarung, Pringkuku, Pacitan Regency, East Java 63552",Tidak,,,,Tidak,Tidak,Tidak,,
89,Wm. Putra Usaha,Warung Makan,"Seafood, Ikan Bakar",5rb- 35rb,6:00 - 21:30 (weekend & liburan),,wa.me/6282331776137,Pasir Putih Watukarung,"Pantai, Watukarung, Pringkuku, Pacitan Regency, East Java 63552",Ya,,,,Tidak,Tidak,Tidak,,
90,Warung Makan Mbak Ida ,Warung Makan,"Seafood, Ikan Bakar",5rb-140rb,"06.00 - 17.00
Weekend",,wa.me/6282331054287,Pasir Putih Watukarung,"Pantai, Watukarung, Pringkuku, Pacitan Regency, East Java 63552",Ya,,,,Tidak,Tidak,Tidak,,
91,Warung Makan Mbak Neli,Warung Makan,Seafood,5rb-140rb,06.00 - selesai (weekend),,wa.me/6281916433493,Pasir Putih Watukarung,"Pantai, Watukarung, Pringkuku, Pacitan Regency, East Java 63552",Tidak,,,,Tidak,Tidak,Ya,,
92,"Warung Makan Pasir Putih ""Cahaya""",Warung Makan,"Seafood, Ikan Bakar",10rb - 100rb,11.00-18.00,,wa.me/6285211290970,Pasir Putih Watukarung,"Pantai, Watukarung, Pringkuku, Pacitan Regency, East Java 63552",Ya,,,,Tidak,Tidak,Tidak,,
93,DA Accessories,Kerajinan,Aksesoris,10rb - 300rb,08.00 - 17.00 weekend,,,Pasir Putih Watukarung,"Pantai, Watukarung, Pringkuku, Pacitan Regency, East Java 63552",Ya,,,,Tidak,Tidak,Ya,,
94,Warung Makan Mbak Pia,Warung Makan,Seafood,5rb - 40rb,07.00 - 18.00 (setiap hari),,wa.me/6282234455156,Pasir Putih Watukarung,"Pantai, Watukarung, Pringkuku, Pacitan Regency, East Java 63552",Tidak,,,https://drive.google.com/drive/folders/1SjlTpfRnut6Sn8z2BXwcItdX2MxFqIEY?usp=drive_link,Tidak,Tidak,Ya,,
95,Warung Makan Bu Surati,Warung Makan,"Seafood, Minuman",10rb-30rb,06.00-17.00,,wa.me/681252705556,Pasir Putih Watukarung,"Pantai, Watukarung, Pringkuku, Pacitan Regency, East Java 63552",Ya,,,,Tidak,Tidak,Tidak,,
96,Wm. Kembar Putra,Warung Makan,Seafood,3rb - 30rb,5:30 - 18:00 (weekend & liburan),,wa.me/6285233893462,Pasir Putih Watukarung,"Pantai, Watukarung, Pringkuku, Pacitan Regency, East Java 63552",Ya,,,,Tidak,Tidak,Ya,,
97,Warung Makan Depi,Warung Makan,Seafood,5rb - 25 rb,07.00 - 18.00 (weekend),,,Pasir Putih Watukarung,"Pantai, Watukarung, Pringkuku, Pacitan Regency, East Java 63552",Tidak,,,https://drive.google.com/drive/folders/1mm-ElwppPBw-ESulkzQCN8OMvSPjDp2G?usp=drive_link,Tidak,Tidak,Ya,Belum Lengkap,
98,Warung Makan Bu Erna,Warung Makan,Makanan ringan dan nasi lauk,,07.00 - 19.00 (weekend),,"wa.me/082257852594
wa.me/081358140470",Pasir Putih Watukarung,"Pantai, Watukarung, Pringkuku, Pacitan Regency, East Java 63552",Ya,https://maps.app.goo.gl/weTBi9yMyq1SnB3g7,,https://drive.google.com/drive/folders/1340RAMqk2wgrdpvNfVqjnW5iPYJgMP2T?usp=drive_link,Tidak,Tidak,Ya,Belum Lengkap,"lokasi jauh dari pantai, update foto"
99,Warung Makan Bu Tutik ,Warung Makan,Seafood Bakar, 10rb-30rb,07.00 - 19.00,,wa.me/6285233897101,Pasir Putih Watukarung,"Pantai, Watukarung, Pringkuku, Pacitan Regency, East Java 63552",Ya,,,,Tidak,Tidak,Tidak,,
100,Warung Makan Mbok'e,Warung Makan,Seafood Bakar,10rb - 200rb,08.00 - 21.00 (weekend),,,Pasir Putih Watukarung,"Pantai, Watukarung, Pringkuku, Pacitan Regency, East Java 63552",Ya,,,https://drive.google.com/drive/folders/1pUrbVbRLGXoCIcTEOoZE_jse0JB3fGf1?usp=drive_link,Tidak,Tidak,Ya,Belum Lengkap,nomor telefon nya gaada
101,"Warung Makan ""Mbak Ning""",Warung Makan,"Ikan bakar, ikan asap, lobster",3rb - 700rb,06.00-18.00 (weekend),,wa.me/6281331942521,Pasir Putih Watukarung,"Pantai, Watukarung, Pringkuku, Pacitan Regency, East Java 63552",Ya,,,https://drive.google.com/drive/folders/1LzhJokxYI9jrknbBHfqzoePuzezpQMtH?usp=drive_link,Tidak,Tidak,Ya,Belum Lengkap,
102,Warung Makan Mbak Wiwid,Warung Makan,Seafood,5rb-600rb,07.00 - 17.00,,wa.me/6282139088191,Pasir Putih Watukarung,"Pantai, Watukarung, Pringkuku, Pacitan Regency, East Java 63552",Ya,,,https://drive.google.com/drive/folders/1z03PB-Fqipd-SXZQaZe73XATuuYwzqwY?usp=drive_link,Tidak,Tidak,Ya,,maps baru dibuat dan lengkapin foto maps
103,Mie Ayam & Bakso Bismillah,Warung Makan,Mie Ayam dan Bakso,10rb-20rb,08.00 - 17.00 ,,wa.me/628138008439,Pasir Putih Watukarung,"Pantai, Watukarung, Pringkuku, Pacitan Regency, East Java 63552",Ya,,,,Tidak,Tidak,Tidak,,
104,Warung Makan Bu Prapti Cabang 2,Warung Makan,"Lobster, Ikan bakar",3rb - 35rb,08.00 - 17.00,,wa.me/6282332000259,Pasir Putih Watukarung,"Pantai, Watukarung, Pringkuku, Pacitan Regency, East Java 63552",Ya,,,https://drive.google.com/drive/folders/1qYKAEnMq6RQpXwMOSwjmaKFBhDKZKdTX?usp=drive_link,Ya,Tidak,Ya,,
105,Aroma Pesisir Denombo,Warung Makan,"Nasi Campur, Ayam Geprek, Ayam Penyet",3rb - 15rb,07:00-17:00,Belum Dicek,wa.me/6285335639412,Pedenombo,"Pantai denombo, kasap, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552",Ya,,,https://drive.google.com/drive/folders/1RX0eNhVFecOMWxf-guB9r5kY-YuyZuVn?usp=drive_link,Ya,Tidak,Ya,Belum Lengkap,tutup
106,Kedai Afika,Warung Makan,"Kupat Tahu, Soto Ayam",5rb - 15rb,07:00 - 18:00 weekend,Belum Dicek,wa.me/6285203211285,Pedenombo,"Pantai denombo, kasap, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552",Ya,https://maps.app.goo.gl/pQtkCHbCopTmZ3AC6,,https://drive.google.com/drive/folders/14nW1kU-gIeJrTAgMcTnI8oEVGaZpaOr_?usp=drive_link,Ya,Tidak,Ya,Belum Lengkap,tutup
107,Warung Bu Win,Warung Makan,Aneka makanan dan minuman,,07.30 - 17.00,Belum Dicek,wa.me/6282230066218,Pedenombo,"Gumuharjo, Pantai Kasap, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552",Ya,https://maps.app.goo.gl/WBhuDNdsCzpinHUh9,,https://maps.app.goo.gl/uBL6Dqbu3oyVZp998,Ya,Tidak,Ya,,tutup
108,Warung Makan Pak No,Warung Makan,"Gado Gado, Lotek",5rb-20rb,08.00 - 17.00,,wa.me/6282233130002,Pedenombo,"Pantai denombo, kasap, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552",Tidak,,,,Tidak,Tidak,Ya,Belum Lengkap,maps lagi dibuat
109,Warung Mbak Preh,Warung Makan,"Aneka Cemilan, Minuman, Kelapa Muda, dan aneka makanan",4rb-20rb,07.00 - 17.00 (Weekend),,,Pedenombo,"Pantai denombo, kasap, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552",Tidak,,,,Tidak,Tidak,Ya,Belum Lengkap,maps lagi dibuat
110,Warung Makan JanJen Bukit Waduk,Restoran,"Nasi Rames, Soto Pacitan",25rb-50rb/ orang,7:00 - 18.00 (weekend),Belum Dicek,wa.me/62813259935700,Waduk,"Alamat: RT.01/RW.07, Dusun Gumulharjo, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",,https://www.google.com/maps/place/Warung+Makan+JanJen+Bukit+Waduk/data=!4m7!3m6!1s0x2e7bdda2df76aaeb:0xf99b2de7e2a71740!8m2!3d-8.2354596!4d110.9695656!16s%2Fg%2F11lp1rvcbd!19sChIJ66p236Ldey4RQBen4uctm_k?authuser=0&hl=id&rclk=1,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGUK-8gUt06wygAONdx0pnsKVFP-usr2yGGjbwzfEdvNJL2xNHBT7DStD6h0imPv8ehNdEZ6wo8aa6oCyxYhmqVfwJlL9zW0pX39nfP6wQRNdE4P1BRPnObBRa93vjR3M9-cmM=w408-h725-k-no,Ya,Tidak,Tidak,Belum Lengkap,
111,Warung MBA Uling,Restoran,Aneka Minuman,5rb - 30rb,07:00 - 18:00 weekend,Belum Dicek,-,Waduk,"Alamat: QX79+WR3, Area Pesawaham, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",,"https://www.google.com/maps/place/Warung+MBA+Uling/@-8.2354049,110.9696435,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bdd002b2cae67:0x14361131daea0c2!8m2!3d-8.2354049!4d110.9696435!16s%2Fg%2F11lp1pxtlq?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNS4wIKXMDSoASAFQAw%3D%3D",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEy-7W-JtTRGWGMgeyOj0y_UzhUZeouoRccSn54y0eY40R-BjRCv1c6b36YA8CimX0WeJ-MHvK-e2m8I-IeEKI5i1pm1BWldtIJAsmYxp6TtNCErS5KM1BksbWrTtkQ8uSXV5i7ZA=w156-h114-p-k-no,Ya,Tidak,Tidak,Belum Lengkap,
112,Sito's Bar & Pizza,Cafe,Pizza,75rb-100rb,16:00 - 23:00,Belum Dicek,wa.me/6285212149411,Waduk,"QX79+WR3, Area Pesawaham, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552",,https://maps.app.goo.gl/JtNdVYeoX58i2se87,TikTok: @sitos.pizza7,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmSbBGuiHkhUrajEMFbQ2JsVie7fMVDbfpFWofDwODc-syl1jZReJ2Dot-DXriWxr-w3q0yq_4wGOAcV6CpQDSTFfh_mZ1TfzI0KImPIBQE55ouI-kVNT8-iSP4DZfWOhPL8HD9wmvDEOs=w408-h544-k-no,Ya,Ya,Tidak,Lengkap,
113,Warung Makan Mbak Sugiarti,Warung Makan,,,,,,,,,,,,Tidak,Tidak,Tidak,,
,,,,,,,,,,,,,,Tidak,Tidak,Tidak,,
,,,,,,,,,,,,,,Tidak,Tidak,Tidak,,
